RollNO,Name,Mly,Cum,Email
1,testname,88,88,test@gmail.com
2,testname,9,9,test@gmail.com
3,testname,75,75,test@gmail.com
4,testname,78,78,test@gmail.com
5,testname,65,65,test@gmail.com
6,testname,,,test@gmail.com
7,testname,63,63,test@gmail.com
8,testname,81,81,test@gmail.com
9,testname,82,82,test@gmail.com
10,testname,,,test@gmail.com
11,testname,56,56,test@gmail.com
12,testname,85,85,test@gmail.com
13,testname,87,87,test@gmail.com
14,testname,78,78,test@gmail.com
15,testname,10,10,test@gmail.com
16,testname,76,76,test@gmail.com
17,testname,90,90,test@gmail.com
18,testname,87,87,test@gmail.com
19,testname,85,85,test@gmail.com
20,testname,74,74,test@gmail.com
21,testname,84,84,test@gmail.com
22,testname,74,74,test@gmail.com
23,testname,81,81,test@gmail.com
24,testname,94,94,test@gmail.com
25,testname,75,75,test@gmail.com
26,testname,90,90,test@gmail.com
27,testname,69,69,test@gmail.com
28,testname,79,79,test@gmail.com
29,testname,78,78,test@gmail.com
30,testname,94,94,test@gmail.com
31,testname,59,59,test@gmail.com
32,testname,93,93,test@gmail.com
33,testname,78,78,test@gmail.com
34,testname,87,87,test@gmail.com
35,testname,,,test@gmail.com
36,testname,87,87,test@gmail.com
37,testname,59,59,test@gmail.com
38,testname,57,57,test@gmail.com
39,testname,63,63,test@gmail.com
40,testname,56,56,test@gmail.com
41,testname,74,74,test@gmail.com
42,testname,,,test@gmail.com
43,testname,16,16,test@gmail.com
44,testname,26,26,test@gmail.com
45,testname,74,74,test@gmail.com
46,testname,85,85,test@gmail.com
47,testname,74,74,test@gmail.com
48,testname,81,81,test@gmail.com
49,testname,100,100,test@gmail.com
50,testname,85,85,test@gmail.com
51,testname,82,82,test@gmail.com
52,testname,99,99,test@gmail.com
53,testname,84,84,test@gmail.com
54,testname,87,87,test@gmail.com
55,testname,97,97,test@gmail.com
56,testname,96,96,test@gmail.com
57,testname,94,94,test@gmail.com
58,testname,79,79,test@gmail.com
59,testname,76,76,test@gmail.com
60,testname,87,87,test@gmail.com
61,testname,76,76,test@gmail.com
62,testname,72,72,test@gmail.com
63,testname,51,51,test@gmail.com
64,testname,88,88,test@gmail.com
65,testname,93,93,test@gmail.com
66,testname,82,82,test@gmail.com
67,testname,,,test@gmail.com
68,testname,51,51,test@gmail.com
69,testname,72,72,test@gmail.com
70,testname,40,40,test@gmail.com
71,testname,56,56,test@gmail.com
72,testname,87,87,test@gmail.com
73,testname,93,93,test@gmail.com
74,testname,63,63,test@gmail.com
75,testname,91,91,test@gmail.com
76,testname,96,96,test@gmail.com
77,testname,90,90,test@gmail.com
78,testname,87,87,test@gmail.com
79,testname,71,71,test@gmail.com
80,testname,93,93,test@gmail.com
81,testname,,,test@gmail.com
82,testname,,,test@gmail.com
83,testname,,,test@gmail.com
84,testname,,,test@gmail.com
85,testname,63,63,test@gmail.com
